Junk3,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
1.1995,350,107.6,0.0005,18.7,437.71,2.64,
0,0,79.2,NaN,18.6,,,
0.02,28,-0.9,0.0005,18.6,,,
0.04,58,-36.7,0.0005,18.6,,,
0.06,75,-43.1,0.001,18.6,,,
0.11,79,-43.3,0.0135,18.6,,,
0.235,109,-23.6,0.004,18.6,,,
0.2865,139,-11.2,0.0015,18.6,,,
0.33,163,-3.7,0.002,18.6,,,
0.439,169,-0.6,0.0175,18.6,,,
0.639,200,13.6,0.0065,18.6,,,
0.839,230,27.5,0.0065,18.6,78.15,1.89,
1.039,260,49.1,0.0065,18.6,235.12,2.37,
1.148,290,74.7,0.0035,18.7,367.57,2.57,
1.1795,320,94.6,0.001,18.7,418.28,2.62,
1.212101,,112.7,,,530.01,,EQP1
1.2195,491,115.7,0,18.7,461.16,2.66,
1.251,521,129.2,0.001,18.7,510.38,2.71,
1.271,547,140,0.001,18.7,446.13,2.65,
1.291,570,149.7,0.001,18.7,418.04,2.62,
1.311,588,158.4,0.001,18.7,365.4,2.56,
1.3315,602,165.4,0.0015,18.7,319.42,2.5,
1.3615,614,173.8,0.0025,18.7,272.13,2.43,
1.396,626,181.3,0.003,18.7,220.73,2.34,
1.4435,636,189,0.0045,18.7,170.14,2.23,
1.5095,646,197,0.0065,18.7,,,
1.599,656,204.9,0.009,18.7,,,
1.723,664,212.9,0.0145,18.7,,,
1.8925,673,220.9,0.019,18.7,,,
2.0925,680,227.8,0.0275,18.7,,,
,,,,,,,
1_C_Sq1_20220701,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,80.5,NaN,18.4,,,
0.02,28,0.8,0.0005,18.4,,,
0.04,58,-35.4,0.0005,18.4,,,
0.06,77,-42.5,0.001,18.4,,,
0.11,80,-43,0.015,18.4,,,
0.235,110,-23.7,0.004,18.4,,,
0.289,141,-11.3,0.002,18.4,,,
0.336,161,-3.5,0.0025,18.4,,,
0.4535,168,-0.7,0.0165,18.4,,,
0.6535,174,3.4,0.031,18.4,,,
0.8535,205,25.1,0.0065,18.4,,,
0.962,235,40.4,0.0035,18.5,182.31,2.26,
1.0485,265,56.2,0.003,18.5,246.07,2.39,
1.1165,295,73.3,0.002,18.5,300.88,2.48,
1.1625,326,89.3,0.0015,18.5,344.23,2.54,
1.196,356,102.6,0.001,18.5,381.63,2.58,
1.216,495,111.9,0,18.5,407.29,2.61,
1.236,523,118.7,0.0005,18.5,428.78,2.63,
1.255624,,127,,,430.65,,EQP1
1.2685,553,132.4,0.001,18.5,433.22,2.64,
1.2885,577,141.9,0.001,18.5,426.48,2.63,
1.3085,598,151.3,0.001,18.5,391.93,2.59,
1.3285,614,159,0.001,18.5,342.3,2.53,
1.3545,630,167.8,0.0015,18.5,293.96,2.47,
1.381,642,174.6,0.002,18.5,258.21,2.41,
1.422,654,182.8,0.0035,18.5,204.79,2.31,
1.473,664,190.6,0.0055,18.5,157.82,2.2,
1.543,674,198.4,0.0075,18.5,,,
1.639,682,206.3,0.012,18.5,,,
1.7745,691,214.5,0.0155,18.5,,,
1.953,699,222.2,0.021,18.5,,,
2.153,707,228.8,0.024,18.5,,,
,,,,,,,
2_C_Sq1_20220701,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,79.5,NaN,18.3,,,
0.02,28,0,0.0005,18.3,,,
0.04,58,-35.8,0.0005,18.3,,,
0.06,74,-42.1,0.0015,18.3,,,
0.11,77,-42.7,0.016,18.3,,,
0.235,107,-23.6,0.004,18.3,,,
0.2895,138,-10.7,0.002,18.4,,,
0.3335,159,-3.1,0.002,18.4,,,
0.4435,167,-0.4,0.0135,18.4,,,
0.6435,197,12.7,0.0065,18.4,,,
0.8435,228,26.6,0.0065,18.4,69.27,1.84,
1.0435,258,46.1,0.0065,18.4,223.29,2.35,
1.179,288,76.4,0.0045,18.4,389.57,2.59,
1.21,318,98.6,0.001,18.4,439.63,2.64,
1.224768,,109.4,,,563.95,,EQP1
1.23,348,113.2,0.0005,18.4,453.67,2.66,
1.25,492,122.8,0,18.5,461.3,2.66,
1.2755,520,133.8,0.001,18.5,525.56,2.72,
1.296,543,143.2,0.001,18.5,421.13,2.62,
1.316,562,152.1,0.001,18.5,383.52,2.58,
1.336,579,159.8,0.001,18.5,337.98,2.53,
1.36,594,167.8,0.0015,18.5,292.87,2.47,
1.388,606,174.9,0.0025,18.5,253.24,2.4,
1.4295,618,183.1,0.0035,18.5,200.92,2.3,
1.4815,629,190.9,0.005,18.5,154.71,2.19,
1.5515,638,198.5,0.008,18.5,,,
1.6525,646,206.7,0.0125,18.5,,,
1.7865,654,214.6,0.0165,18.5,,,
1.9705,663,222.6,0.021,18.5,,,
2.1705,671,229.1,0.0265,18.5,,,
,,,,,,,
1_C_Sq1_20220630,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,79.7,NaN,18.3,,,
0.02,28,-0.4,0.0005,18.3,,,
0.04,58,-36.2,0.0005,18.3,,,
0.06,77,-42.9,0.001,18.3,,,
0.11,80,-43.2,0.0145,18.3,,,
0.235,111,-23.4,0.004,18.4,,,
0.2865,141,-10.7,0.0015,18.4,,,
0.3275,163,-4.1,0.002,18.4,,,
0.43,174,2.9,0.009,18.4,,,
0.63,205,15.2,0.0065,18.4,,,
0.83,235,27.6,0.0065,18.4,65.94,1.82,
1.03,265,48.7,0.0065,18.4,209.19,2.32,
1.1445,295,72.3,0.004,18.5,337.4,2.53,
1.1845,325,92.1,0.0015,18.5,392.09,2.59,
1.2045,356,105.2,0.0005,18.5,411.73,2.61,
1.221992,,112.7,,,495.1,,EQP1
1.2245,488,113.8,0,18.5,432.47,2.64,
1.253,518,124.7,0.001,18.5,485.73,2.69,
1.2765,544,135.8,0.001,18.5,437.24,2.64,
1.2965,564,145.2,0.001,18.5,419.31,2.62,
1.3165,582,154,0.001,18.5,381.4,2.58,
1.3365,598,161.8,0.001,18.5,331.02,2.52,
1.36,612,169.1,0.0015,18.5,291.48,2.46,
1.3915,625,176.9,0.0025,18.5,243.9,2.39,
1.433,635,184.6,0.004,18.5,193.5,2.29,
1.49,645,192.6,0.0055,18.5,146.45,2.17,
1.5645,653,200.3,0.009,18.5,,,
1.67,659,208.6,0.0165,18.5,,,
1.803,667,216.1,0.0175,18.5,,,
2.002,674,224,0.0275,18.5,,,
2.202,682,230.2,0.0265,18.5,,,
,,,,,,,
2_C_Sq1_20220630,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,79.7,NaN,18.3,,,
0.02,28,0.6,0.0005,18.3,,,
0.04,58,-34.8,0.0005,18.3,,,
0.06,77,-41.8,0.001,18.3,,,
0.11,82,-41.4,0.011,18.3,,,
0.235,112,-22.3,0.004,18.4,,,
0.2895,142,-10.2,0.002,18.4,,,
0.339,165,-2.7,0.002,18.4,,,
0.463,170,0,0.0235,18.4,,,
0.663,200,14.6,0.0065,18.4,,,
0.863,206,23.1,0.034,18.4,83.46,1.92,
1.063,236,47.6,0.0065,18.4,276.44,2.44,
1.1485,266,71.9,0.003,18.4,390.14,2.59,
1.173,296,91.1,0.001,18.4,426.73,2.63,
1.193,327,104.2,0.0005,18.4,440.28,2.64,
1.201301,,107.9,,,519.08,,EQP1
1.213,464,113.1,0,18.5,480.88,2.68,
1.2395,493,122.8,0.001,18.5,505.55,2.7,
1.2655,521,134.8,0.001,18.5,420.17,2.62,
1.2855,545,144.7,0.001,18.5,421.12,2.62,
1.3055,564,153.6,0.001,18.5,385.7,2.59,
1.3255,581,161.2,0.001,18.5,334.5,2.52,
1.3505,594,169.1,0.002,18.5,291.18,2.46,
1.3805,606,176.5,0.0025,18.5,246.92,2.39,
1.4215,618,184.4,0.0035,18.5,195.5,2.29,
1.4755,627,192.1,0.006,18.5,149.69,2.18,
1.55,637,200,0.0075,18.5,,,
1.6515,646,207.9,0.0115,18.5,,,
1.792,654,215.9,0.0175,18.5,,,
1.9845,662,223.8,0.025,18.5,,,
2.1845,669,230,0.03,18.5,,,
,,,,,,,
1_H_Sq2_20220712,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,87.1,NaN,18.2,,,
0.02,28,28.5,0.0005,18.2,,,
0.04,58,-3.3,0.0005,18.3,,,
0.06,88,-16.5,0.0005,18.3,,,
0.11,91,-17,0.016,18.3,,,
0.235,121,-6.2,0.004,18.3,,,
0.407,134,0.1,0.0135,18.3,,,
0.607,164,14.4,0.0065,18.3,,,
0.807,171,21.2,0.029,18.3,,,
1.007,201,43.9,0.0065,18.3,211.73,2.33,
1.106,231,67.4,0.0035,18.3,297.29,2.47,
1.1385,262,83.7,0.001,18.3,329.2,2.52,
1.1585,292,95.2,0.0005,18.4,349.65,2.54,
1.183,309,101.5,0.0015,18.4,386.95,2.59,
1.244,460,122.6,0.0005,18.4,409.63,2.61,
1.264,484,131.8,0.001,18.4,379.21,2.58,
1.274478,,136.6,,,416.66,,EQP1
1.284,507,141,0.001,18.4,414.17,2.62,
1.304,527,150.2,0.001,18.4,405.87,2.61,
1.324,543,158.1,0.001,18.4,353.65,2.55,
1.3475,559,166.3,0.0015,18.4,305.13,2.48,
1.3735,572,173.3,0.002,18.4,264.77,2.42,
1.412,584,181.5,0.003,18.4,213.27,2.33,
1.459,594,189,0.0045,18.5,166.74,2.22,
1.526,604,197,0.0065,18.5,,,
1.6165,612,204.9,0.0105,18.5,,,
1.7425,621,213,0.0145,18.5,,,
1.909,629,220.8,0.022,18.5,,,
2.109,636,227.8,0.0265,18.5,,,
,,,,,,,
1_H_Sq2_20220712,,,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],dE/dV [mV/mL],log dE/dV [log (mV/mL)],Point label
0,0,87.3,NaN,18.2,,,
0.02,28,29.1,0.0005,18.3,,,
0.04,58,-2,0.0005,18.3,,,
0.06,88,-15.7,0.0005,18.3,,,
0.11,91,-16.4,0.016,18.3,,,
0.235,121,-5.9,0.004,18.3,,,
0.417,132,-0.3,0.016,18.3,,,
0.617,163,12.1,0.0065,18.3,,,
0.817,193,26.7,0.0065,18.3,95.22,1.98,
1.017,223,45.9,0.0065,18.3,207.28,2.32,
1.156,253,74.2,0.0045,18.3,339.37,2.53,
1.193,283,95.3,0.001,18.3,397.39,2.6,
1.213,314,108.5,0.0005,18.4,414.96,2.62,
1.217406,,110.4,,,504.61,,EQP1
1.233,453,117,0,18.4,429.44,2.63,
1.262,483,128.2,0.001,18.4,485.2,2.69,
1.285,509,138.7,0.001,18.4,418.56,2.62,
1.305,531,148,0.001,18.4,400.23,2.6,
1.325,548,156,0.001,18.4,360.45,2.56,
1.348,564,164.5,0.0015,18.4,310.59,2.49,
1.372,578,171.5,0.0015,18.4,275.41,2.44,
1.4065,591,179.3,0.0025,18.4,227.35,2.36,
1.452,602,187.1,0.004,18.4,177.91,2.25,
1.5135,612,195,0.0065,18.4,134.6,2.13,
1.5965,621,202.8,0.0095,18.4,,,
1.713,630,210.9,0.0135,18.4,,,
1.8685,638,218.8,0.0195,18.4,,,
2.0685,647,226.3,0.0225,18.4,,,
2.2685,654,231.9,0.0275,18.4,,,
