Task,T3379
Scope 1/1, Sample 1/33 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.3625,47,-61.1,21.7,0.0070,,
0.3710,48,-60.0,21.7,0.0075,,
0.3795,49,-58.9,21.7,0.0075,,
0.3880,50,-57.6,21.7,0.0075,,
0.3965,51,-56.4,21.7,0.0075,,
0.4040,52,-55.4,21.7,0.0070,,
0.4125,53,-54.2,21.7,0.0075,,
0.4210,54,-53.1,21.7,0.0075,,
0.4290,55,-52.0,21.7,0.0075,,
0.4375,56,-50.9,21.7,0.0075,,
0.4460,57,-49.7,21.7,0.0075,,
0.4545,58,-48.7,21.7,0.0075,,
0.4620,59,-47.7,21.7,0.0070,,
0.4705,60,-46.7,21.7,0.0075,,
0.4790,61,-45.8,21.7,0.0075,,
0.4875,62,-44.9,21.7,0.0075,,
0.4960,63,-43.9,21.7,0.0075,,
0.5040,64,-43.1,21.7,0.0075,,
0.5120,65,-42.1,21.7,0.0075,,
0.5200,66,-41.2,21.7,0.0075,,
0.5285,67,-40.4,21.7,0.0075,,
0.5370,68,-39.6,21.7,0.0075,,
0.5455,69,-38.8,21.7,0.0075,,
0.5540,70,-38.0,21.7,0.0070,,
0.5615,71,-37.3,21.7,0.0070,,
0.5700,72,-36.6,21.7,0.0075,,
0.5785,73,-35.8,21.7,0.0075,,
0.5870,74,-35.1,21.7,0.0075,,
0.5950,75,-34.3,21.7,0.0075,,
0.6035,76,-33.6,21.7,0.0070,,
0.6110,77,-32.9,21.7,0.0070,,
0.6195,78,-32.3,21.7,0.0075,,
0.6280,79,-31.6,21.7,0.0075,,
0.6365,80,-31.0,21.7,0.0075,,
0.6450,81,-30.3,21.7,0.0075,,
0.6535,82,-29.7,21.7,0.0070,,
0.6610,83,-29.1,21.7,0.0070,,
0.6695,84,-28.5,21.7,0.0075,,
0.6775,85,-27.8,21.7,0.0075,,
0.6860,86,-27.2,21.7,0.0075,,
0.6945,87,-26.6,21.7,0.0075,,
0.7030,88,-25.9,21.7,0.0075,,
0.7105,89,-25.4,21.7,0.0070,,
0.7190,90,-24.8,21.7,0.0075,,
0.7275,91,-24.2,21.7,0.0075,,
0.7360,92,-23.5,21.7,0.0075,,
0.7445,93,-23.0,21.7,0.0075,,
0.7525,94,-22.3,21.7,0.0075,,
0.7605,95,-21.8,21.7,0.0075,,
0.7685,96,-21.2,21.7,0.0075,,
0.7770,97,-20.6,21.7,0.0075,,
0.7855,98,-20.0,21.7,0.0075,,
0.7940,99,-19.4,21.7,0.0075,,
0.8025,100,-18.9,21.7,0.0075,,
0.8100,101,-18.4,21.7,0.0070,,
0.8185,102,-17.9,21.7,0.0075,,
0.8270,103,-17.4,21.7,0.0075,,
0.8355,104,-16.8,21.7,0.0075,,
0.8435,105,-16.2,21.7,0.0075,,
0.8520,106,-15.5,21.7,0.0075,,
0.8600,107,-15.1,21.8,0.0075,,
0.8680,108,-14.5,21.7,0.0075,,
0.8765,109,-14.0,21.7,0.0075,,
0.8850,110,-13.4,21.7,0.0075,,
0.8935,111,-12.9,21.8,0.0075,,
0.9020,112,-12.3,21.7,0.0075,,
0.9095,113,-11.8,21.7,0.0070,,
0.9180,114,-11.2,21.8,0.0075,,
0.9265,115,-10.6,21.7,0.0075,,
0.9350,116,-10.1,21.8,0.0075,,
0.9430,117,-9.4,21.7,0.0075,,
0.9515,118,-8.9,21.8,0.0075,,
0.9590,119,-8.5,21.8,0.0070,,
0.9675,120,-8.0,21.8,0.0075,,
0.9760,121,-7.3,21.8,0.0075,,
0.9845,122,-6.8,21.8,0.0075,,
0.9930,123,-6.2,21.8,0.0075,,
1.0015,124,-5.6,21.8,0.0075,,
1.0090,125,-5.1,21.8,0.0070,,
1.0175,126,-4.4,21.7,0.0075,,
1.0260,127,-3.7,21.8,0.0075,,
1.0340,128,-3.1,21.8,0.0075,,
1.0425,129,-2.4,21.8,0.0075,,
1.0510,130,-1.6,21.8,0.0075,,
1.0585,131,-1.0,21.8,0.0070,,
1.0670,132,-0.3,21.8,0.0075,,
1.0755,133,0.2,21.8,0.0075,,
1.0840,134,0.3,21.8,0.0075,,
1.0925,135,0.9,21.8,0.0075,,
1.1005,136,1.4,21.8,0.0075,,
1.1090,137,2.2,21.8,0.0070,,
1.1165,138,3.1,21.8,0.0070,,
1.1250,139,3.9,21.8,0.0075,,
1.1335,140,4.4,21.8,0.0075,,
1.1420,141,5.1,21.8,0.0075,,
1.1505,142,5.6,21.8,0.0075,,
1.1590,143,6.2,21.8,0.0075,,
1.1665,144,6.9,21.8,0.0070,,
1.1750,145,7.5,21.8,0.0075,,
1.1835,146,8.3,21.8,0.0075,,
1.1915,147,9.2,21.8,0.0075,,
1.2000,148,10.2,21.8,0.0075,,
1.2085,149,11.1,21.8,0.0070,,
1.2160,150,12.1,21.8,0.0070,,
1.2245,151,13.0,21.8,0.0075,,
1.2330,152,14.1,21.8,0.0075,,
1.2415,153,15.0,21.8,0.0075,,
1.2500,154,16.0,21.8,0.0075,,
1.2585,155,17.1,21.8,0.0075,,
1.2660,156,18.2,21.8,0.0070,,
1.2745,157,19.3,21.8,0.0075,,
1.2825,158,20.5,21.8,0.0075,,
1.2910,159,21.8,21.8,0.0075,,
1.2995,160,23.1,21.8,0.0075,,
1.3080,161,24.6,21.8,0.0075,,
1.3155,162,26.0,21.8,0.0070,,
1.3240,163,27.5,21.8,0.0075,,
1.3325,164,29.3,21.8,0.0075,,
1.3410,165,31.1,21.8,0.0075,,
1.3495,166,33.1,21.8,0.0070,,
1.3575,167,35.4,21.8,0.0065,,
1.3655,168,37.6,21.8,0.0075,,
1.3735,169,40.3,21.8,0.0075,,
1.3820,170,43.5,21.8,0.0075,,
1.3905,171,47.1,21.8,0.0075,,
1.3990,172,51.1,21.8,0.0075,,
1.4075,173,55.3,21.8,0.0070,,
1.4150,174,59.7,21.8,0.0070,,
1.4235,175,65.0,21.8,0.0075,,
1.4320,176,71.0,21.8,0.0075,,
1.4405,177,77.6,21.8,0.0075,,
1.4490,178,84.9,21.8,0.0075,,
1.4570,179,91.9,21.8,0.0075,,
1.4650,180,100.2,21.8,0.0075,,
1.4730,181,108.7,21.8,0.0075,,
1.4815,182,117.1,21.8,0.0075,,
1.4900,183,125.3,21.8,0.0075,,
1.4985,184,133.3,21.8,0.0075,,
1.5070,185,141.7,21.8,0.0070,,
1.5145,186,148.6,21.8,0.0070,,
1.5230,187,155.9,21.8,0.0075,,
1.5315,188,162.4,21.8,0.0075,,
1.5395,189,168.2,21.8,0.0075,,
1.5480,190,173.3,21.8,0.0075,,
1.5565,191,178.2,21.8,0.0075,,
1.5640,192,181.9,21.8,0.0070,,
1.5735,193,185.2,21.8,0.0080,,
1.5735,433,195.3,21.8,0.0000,,
1.5740,434,195.2,21.8,0.0005,,
1.5755,435,195.2,21.8,0.0010,,
1.5780,436,195.2,21.8,0.0020,,
1.5820,437,195.3,21.8,0.0030,,
1.5885,438,195.4,21.8,0.0050,,
1.5970,439,196.0,21.8,0.0065,,
1.6045,440,196.5,21.8,0.0060,,
1.6130,441,197.2,21.8,0.0070,,
1.6215,442,198.1,21.8,0.0070,,
1.6295,443,198.9,21.8,0.0060,,
1.6380,444,199.7,21.8,0.0065,,
1.6465,445,200.6,21.8,0.0065,,
1.6550,446,201.5,21.8,0.0070,,
1.6625,447,202.3,21.8,0.0060,,
1.6710,448,203.1,21.8,0.0070,,
1.6795,449,203.7,21.8,0.0065,,
1.6880,450,204.4,21.8,0.0065,,
1.6965,451,205.1,21.8,0.0065,,
1.7045,452,205.8,21.8,0.0065,,
1.7125,453,206.5,21.8,0.0065,,
1.7205,454,207.1,21.8,0.0065,,
1.7290,455,207.8,21.8,0.0065,,
1.7375,456,208.4,21.8,0.0065,,
1.7460,457,209.0,21.8,0.0065,,
1.7535,458,209.5,21.8,0.0060,,
1.7620,459,210.1,21.8,0.0070,,
1.7705,460,210.7,21.8,0.0070,,
1.7790,461,211.3,21.8,0.0065,,
1.7875,462,211.7,21.8,0.0065,,
1.7955,463,212.3,21.8,0.0060,,
1.8040,464,212.8,21.8,0.0070,,
1.8115,465,213.3,21.8,0.0060,,
1.8200,466,213.8,21.8,0.0070,,
1.8285,467,214.3,21.8,0.0065,,
1.8370,468,214.7,21.8,0.0065,,
1.8455,469,215.2,21.8,0.0065,,
1.8540,470,215.7,21.8,0.0070,,
1.8615,471,216.3,21.8,0.0060,,
1.8700,472,216.8,21.8,0.0070,,
1.8785,473,217.1,21.8,0.0065,,
1.8865,474,217.6,21.8,0.0060,,
1.8950,475,217.9,21.8,0.0065,,
1.9035,476,218.3,21.8,0.0070,,
1.9110,477,218.7,21.8,0.0065,,
1.9195,478,219.1,21.8,0.0070,,
1.9280,479,219.5,21.8,0.0065,,
1.9365,480,220.0,21.8,0.0065,,
1.9450,481,220.3,21.8,0.0065,,
1.9535,482,220.6,21.8,0.0070,,
1.9610,483,221.0,21.8,0.0060,,
1.9695,484,221.4,21.8,0.0070,,
1.9780,485,221.7,21.8,0.0065,,
1.9860,486,222.0,21.8,0.0060,,
1.9945,487,222.4,21.8,0.0065,,
2.0030,488,222.8,21.8,0.0070,,
2.0105,489,223.2,21.8,0.0060,,
2.0190,490,223.5,21.8,0.0070,,
2.0275,491,223.8,21.8,0.0065,,
2.0360,492,224.2,21.8,0.0065,,
2.0445,493,224.5,21.8,0.0065,,
2.0525,494,224.8,21.8,0.0065,,
2.0605,495,225.1,21.8,0.0065,,
2.0685,496,225.5,21.8,0.0065,,
2.0770,497,225.7,21.8,0.0070,,
2.0855,498,226.0,21.8,0.0065,,
2.0940,499,226.3,21.8,0.0065,,
2.1025,500,226.6,21.8,0.0065,,
2.1100,501,226.8,21.8,0.0060,,
2.1185,502,227.2,21.8,0.0070,,
2.1270,503,227.5,21.8,0.0065,,
2.1355,504,227.7,21.8,0.0065,,
2.1435,505,228.0,21.8,0.0060,,
2.1520,506,228.3,21.8,0.0065,,
2.1595,507,228.4,21.8,0.0060,,
2.1680,508,228.7,21.8,0.0070,,
2.1765,509,229.1,21.8,0.0070,,
2.1850,510,229.3,21.8,0.0065,,
2.1935,511,229.5,21.8,0.0065,,
2.2020,512,229.8,21.8,0.0065,,
2.2095,513,230.1,21.8,0.0060,,
2.2180,514,230.4,21.8,0.0070,,
2.2265,515,230.6,21.8,0.0070,,
2.2345,516,230.9,21.8,0.0060,,
2.2430,517,231.1,21.8,0.0065,,
2.2515,518,231.4,21.8,0.0065,,
2.2590,519,231.6,21.8,0.0060,,
2.2675,520,231.8,21.8,0.0070,,
2.2760,521,232.0,21.8,0.0070,,
2.2845,522,232.3,21.8,0.0065,,
2.2930,523,232.6,21.8,0.0065,,
2.3015,524,232.8,21.8,0.0065,,
2.3090,525,233.0,21.8,0.0060,,
2.3175,526,233.3,21.8,0.0070,,
2.3255,527,233.4,21.8,0.0065,,
2.3340,528,233.7,21.8,0.0065,,
2.3425,529,234.0,21.8,0.0065,,
2.3505,530,234.2,21.8,0.0060,,
2.3575,531,234.3,21.8,0.0060,,
2.3610,532,234.5,21.8,0.0030,,
2.3615,533,234.6,21.8,0.0005,,
2.3615,534,234.7,21.8,0.0000,,
2.3630,535,234.7,21.8,0.0010,,
2.3645,536,234.8,21.8,0.0010,,
2.3670,537,234.8,21.8,0.0020,,
2.3705,538,234.8,21.8,0.0030,,
2.3755,539,234.9,21.8,0.0040,,
2.3780,540,235.0,21.8,0.0030,,
Scope 1/1, Sample 2/33 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-89.9,21.7,NaN,,
0.0010,1,-90.0,21.7,0.0010,,
0.0025,2,-90.0,21.7,0.0015,,
0.0050,3,-90.1,21.7,0.0020,,
0.0090,4,-90.1,21.7,0.0035,,
0.0150,5,-90.1,21.7,0.0055,,
0.0235,6,-90.0,21.7,0.0075,,
0.0320,7,-89.9,21.7,0.0075,,
0.0405,8,-89.8,21.7,0.0075,,
0.0490,9,-89.6,21.7,0.0070,,
0.0565,10,-89.4,21.7,0.0070,,
0.0650,11,-89.1,21.7,0.0075,,
0.0735,12,-88.8,21.7,0.0075,,
0.0820,13,-88.4,21.7,0.0075,,
0.0905,14,-88.0,21.7,0.0075,,
0.0985,15,-87.5,21.7,0.0075,,
0.1065,16,-87.0,21.7,0.0075,,
0.1145,17,-86.4,21.7,0.0075,,
0.1230,18,-85.9,21.7,0.0075,,
0.1315,19,-85.3,21.7,0.0075,,
0.1400,20,-84.6,21.7,0.0075,,
0.1485,21,-84.1,21.7,0.0075,,
0.1560,22,-83.4,21.7,0.0070,,
0.1645,23,-82.8,21.7,0.0075,,
0.1730,24,-82.0,21.7,0.0075,,
0.1815,25,-81.3,21.7,0.0075,,
0.1895,26,-80.5,21.7,0.0075,,
0.1980,27,-79.7,21.7,0.0070,,
0.2055,28,-79.0,21.7,0.0070,,
0.2140,29,-78.0,21.7,0.0075,,
0.2225,30,-77.1,21.7,0.0075,,
0.2310,31,-76.2,21.7,0.0075,,
0.2395,32,-75.3,21.7,0.0075,,
0.2480,33,-74.4,21.7,0.0070,,
0.2555,34,-73.5,21.7,0.0070,,
0.2640,35,-72.5,21.7,0.0075,,
0.2720,36,-71.5,21.7,0.0075,,
0.2805,37,-70.3,21.7,0.0075,,
0.2890,38,-69.2,21.7,0.0075,,
0.2975,39,-68.1,21.7,0.0075,,
0.3050,40,-67.1,21.7,0.0070,,
0.3135,41,-66.0,21.7,0.0075,,
0.3220,42,-64.9,21.7,0.0075,,
0.3305,43,-63.7,21.7,0.0075,,
0.3385,44,-62.5,21.7,0.0075,,
0.3470,45,-61.3,21.7,0.0075,,
0.3555,46,-60.3,21.7,0.0075,,
0.3630,47,-59.0,21.7,0.0070,,
0.3715,48,-57.8,21.7,0.0075,,
0.3800,49,-56.6,21.7,0.0075,,
0.3885,50,-55.3,21.7,0.0075,,
0.3970,51,-54.0,21.7,0.0075,,
0.4050,52,-52.8,21.7,0.0065,,
0.4130,53,-51.8,21.7,0.0075,,
0.4215,54,-50.7,21.7,0.0075,,
0.4295,55,-49.6,21.7,0.0075,,
0.4380,56,-48.5,21.7,0.0075,,
0.4465,57,-47.5,21.7,0.0075,,
0.4550,58,-46.5,21.7,0.0070,,
0.4625,59,-45.7,21.7,0.0070,,
0.4710,60,-44.8,21.7,0.0075,,
0.4795,61,-43.8,21.7,0.0075,,
0.4880,62,-42.9,21.7,0.0075,,
0.4965,63,-42.1,21.7,0.0075,,
0.5045,64,-41.2,21.7,0.0075,,
0.5125,65,-40.5,21.7,0.0075,,
0.5205,66,-39.7,21.7,0.0075,,
0.5290,67,-38.9,21.7,0.0075,,
0.5375,68,-38.1,21.8,0.0075,,
0.5460,69,-37.3,21.8,0.0075,,
0.5545,70,-36.6,21.7,0.0075,,
0.5620,71,-35.8,21.8,0.0070,,
0.5705,72,-35.0,21.7,0.0075,,
0.5790,73,-34.3,21.8,0.0075,,
0.5870,74,-33.6,21.8,0.0075,,
0.5955,75,-32.9,21.8,0.0075,,
0.6040,76,-32.3,21.8,0.0075,,
0.6115,77,-31.6,21.8,0.0070,,
0.6200,78,-30.9,21.8,0.0075,,
0.6285,79,-30.3,21.8,0.0075,,
0.6370,80,-29.6,21.8,0.0075,,
0.6455,81,-29.1,21.8,0.0075,,
0.6540,82,-28.4,21.8,0.0075,,
0.6615,83,-27.8,21.8,0.0070,,
0.6700,84,-27.2,21.8,0.0075,,
0.6785,85,-26.6,21.8,0.0075,,
0.6865,86,-25.9,21.8,0.0075,,
0.6950,87,-25.3,21.8,0.0075,,
0.7035,88,-24.7,21.8,0.0075,,
0.7110,89,-24.1,21.8,0.0070,,
0.7195,90,-23.5,21.8,0.0075,,
0.7280,91,-23.0,21.8,0.0075,,
0.7365,92,-22.4,21.8,0.0075,,
0.7450,93,-21.8,21.8,0.0075,,
0.7535,94,-21.2,21.8,0.0075,,
0.7610,95,-20.7,21.8,0.0070,,
0.7695,96,-20.1,21.8,0.0075,,
0.7775,97,-19.6,21.8,0.0075,,
0.7860,98,-19.0,21.8,0.0075,,
0.7945,99,-18.5,21.8,0.0075,,
0.8030,100,-17.8,21.8,0.0070,,
0.8105,101,-17.4,21.8,0.0070,,
0.8190,102,-16.8,21.8,0.0075,,
0.8275,103,-16.1,21.8,0.0075,,
0.8360,104,-15.6,21.8,0.0075,,
0.8445,105,-15.0,21.8,0.0075,,
0.8525,106,-14.4,21.8,0.0075,,
0.8610,107,-13.8,21.8,0.0075,,
0.8685,108,-13.3,21.8,0.0070,,
0.8770,109,-12.7,21.8,0.0075,,
0.8855,110,-12.2,21.8,0.0075,,
0.8940,111,-11.6,21.8,0.0075,,
0.9025,112,-11.1,21.8,0.0075,,
0.9110,113,-10.5,21.8,0.0075,,
0.9185,114,-9.9,21.8,0.0070,,
0.9270,115,-9.4,21.8,0.0075,,
0.9350,116,-8.9,21.8,0.0075,,
0.9435,117,-8.3,21.8,0.0075,,
0.9520,118,-7.8,21.8,0.0075,,
0.9605,119,-7.3,21.8,0.0075,,
0.9680,120,-6.7,21.8,0.0070,,
0.9765,121,-6.1,21.8,0.0075,,
0.9850,122,-5.6,21.8,0.0075,,
0.9935,123,-4.9,21.8,0.0075,,
1.0020,124,-4.2,21.8,0.0075,,
1.0100,125,-3.5,21.8,0.0065,,
1.0180,126,-2.8,21.8,0.0075,,
1.0260,127,-2.1,21.8,0.0075,,
1.0345,128,-1.4,21.8,0.0075,,
1.0430,129,-0.7,21.8,0.0075,,
1.0515,130,0.0,21.8,0.0075,,
1.0600,131,0.4,21.8,0.0075,,
1.0675,132,0.5,21.8,0.0070,,
1.0760,133,1.1,21.8,0.0075,,
1.0845,134,1.7,21.8,0.0075,,
1.0930,135,2.5,21.8,0.0075,,
1.1010,136,3.7,21.8,0.0075,,
1.1095,137,3.9,21.8,0.0070,,
1.1170,138,4.7,21.8,0.0070,,
1.1255,139,5.3,21.8,0.0075,,
1.1340,140,6.0,21.8,0.0075,,
1.1425,141,6.6,21.8,0.0075,,
1.1510,142,7.3,21.8,0.0075,,
1.1595,143,7.9,21.8,0.0075,,
1.1670,144,8.8,21.8,0.0070,,
1.1755,145,9.7,21.8,0.0075,,
1.1840,146,10.7,21.8,0.0075,,
1.1920,147,11.7,21.8,0.0075,,
1.2005,148,12.7,21.8,0.0075,,
1.2090,149,13.7,21.8,0.0075,,
1.2165,150,14.6,21.8,0.0070,,
1.2250,151,15.6,21.8,0.0075,,
1.2335,152,16.6,21.8,0.0075,,
1.2420,153,17.7,21.8,0.0075,,
1.2505,154,18.9,21.8,0.0075,,
1.2590,155,20.0,21.8,0.0070,,
1.2665,156,21.2,21.8,0.0070,,
1.2750,157,22.5,21.8,0.0075,,
1.2830,158,24.0,21.8,0.0075,,
1.2915,159,25.6,21.8,0.0075,,
1.3000,160,27.3,21.8,0.0075,,
1.3085,161,29.1,21.8,0.0075,,
1.3170,162,30.9,21.8,0.0075,,
1.3245,163,33.0,21.8,0.0070,,
1.3330,164,35.3,21.8,0.0075,,
1.3415,165,37.8,21.8,0.0075,,
1.3495,166,40.6,21.8,0.0075,,
1.3580,167,43.8,21.8,0.0075,,
1.3665,168,47.0,21.8,0.0075,,
1.3740,169,51.1,21.8,0.0070,,
1.3825,170,55.7,21.8,0.0075,,
1.3910,171,60.6,21.8,0.0075,,
1.3995,172,66.2,21.8,0.0075,,
1.4080,173,72.5,21.8,0.0075,,
1.4165,174,78.6,21.8,0.0075,,
1.4240,175,86.0,21.8,0.0070,,
1.4325,176,93.7,21.8,0.0075,,
1.4405,177,102.1,21.8,0.0075,,
1.4490,178,110.8,21.8,0.0075,,
1.4575,179,119.7,21.8,0.0075,,
1.4660,180,128.3,21.8,0.0070,,
1.4735,181,136.0,21.8,0.0070,,
1.4820,182,144.1,21.8,0.0075,,
1.4905,183,151.2,21.8,0.0075,,
1.4990,184,158.2,21.8,0.0075,,
1.5075,185,164.4,21.8,0.0075,,
1.5155,186,170.1,21.8,0.0075,,
1.5235,187,174.7,21.8,0.0075,,
1.5315,188,179.1,21.8,0.0075,,
1.5400,189,182.6,21.8,0.0075,,
1.5490,190,185.1,21.8,0.0075,,
1.5490,430,194.4,21.8,0.0000,,
1.5495,431,194.5,21.8,0.0005,,
1.5510,432,194.5,21.8,0.0010,,
1.5535,433,194.4,21.8,0.0020,,
1.5575,434,194.5,21.8,0.0030,,
1.5640,435,194.7,21.8,0.0045,,
1.5725,436,195.2,21.8,0.0060,,
1.5800,437,195.8,21.8,0.0060,,
1.5885,438,196.6,21.8,0.0065,,
1.5970,439,197.5,21.8,0.0065,,
1.6055,440,198.3,21.8,0.0060,,
1.6135,441,199.2,21.8,0.0055,,
1.6220,442,200.1,21.8,0.0060,,
1.6295,443,200.7,21.8,0.0060,,
1.6380,444,201.6,21.8,0.0060,,
1.6465,445,202.4,21.8,0.0065,,
1.6550,446,203.2,21.8,0.0060,,
1.6635,447,203.9,21.8,0.0060,,
1.6720,448,204.5,21.8,0.0060,,
1.6795,449,205.1,21.8,0.0060,,
1.6880,450,205.8,21.8,0.0065,,
1.6960,451,206.6,21.8,0.0060,,
1.7045,452,207.1,21.8,0.0060,,
1.7130,453,207.7,21.8,0.0060,,
1.7215,454,208.3,21.8,0.0060,,
1.7300,455,208.8,21.8,0.0065,,
1.7375,456,209.5,21.8,0.0060,,
1.7460,457,210.0,21.8,0.0065,,
1.7545,458,210.6,21.8,0.0060,,
1.7630,459,211.0,21.8,0.0060,,
1.7710,460,211.6,21.8,0.0055,,
1.7795,461,212.1,21.8,0.0065,,
1.7875,462,212.6,21.8,0.0060,,
1.7955,463,213.2,21.8,0.0060,,
1.8040,464,213.7,21.8,0.0060,,
1.8125,465,214.2,21.8,0.0060,,
1.8210,466,214.6,21.8,0.0060,,
1.8285,467,215.0,21.8,0.0060,,
1.8370,468,215.5,21.8,0.0065,,
1.8455,469,215.9,21.8,0.0065,,
1.8540,470,216.4,21.8,0.0060,,
1.8625,471,216.9,21.8,0.0060,,
1.8705,472,217.3,21.8,0.0055,,
1.8785,473,217.6,21.8,0.0060,,
1.8865,474,218.0,21.8,0.0060,,
1.8950,475,218.4,21.8,0.0065,,
1.9035,476,218.8,21.8,0.0060,,
1.9120,477,219.1,21.8,0.0060,,
1.9205,478,219.5,21.8,0.0060,,
1.9290,479,219.9,21.8,0.0065,,
1.9365,480,220.3,21.8,0.0060,,
1.9450,481,220.7,21.8,0.0065,,
1.9535,482,221.1,21.8,0.0060,,
1.9615,483,221.4,21.8,0.0055,,
1.9700,484,221.8,21.8,0.0060,,
1.9785,485,222.2,21.8,0.0060,,
1.9860,486,222.5,21.8,0.0060,,
1.9945,487,222.9,21.8,0.0065,,
2.0030,488,223.2,21.8,0.0060,,
2.0115,489,223.4,21.8,0.0060,,
2.0200,490,223.8,21.8,0.0060,,
2.0280,491,224.1,21.8,0.0060,,
2.0360,492,224.4,21.8,0.0060,,
2.0440,493,224.7,21.8,0.0060,,
2.0525,494,225.1,21.8,0.0060,,
2.0610,495,225.4,21.8,0.0060,,
2.0695,496,225.6,21.8,0.0060,,
2.0780,497,225.9,21.8,0.0065,,
2.0855,498,226.2,21.8,0.0060,,
2.0940,499,226.5,21.8,0.0065,,
2.1025,500,226.7,21.8,0.0060,,
2.1110,501,227.1,21.8,0.0060,,
2.1190,502,227.4,21.8,0.0055,,
2.1275,503,227.7,21.8,0.0060,,
2.1350,504,228.0,21.8,0.0060,,
2.1435,505,228.2,21.8,0.0065,,
2.1520,506,228.4,21.8,0.0065,,
2.1605,507,228.6,21.8,0.0060,,
2.1690,508,228.9,21.8,0.0060,,
2.1775,509,229.1,21.8,0.0060,,
2.1850,510,229.4,21.8,0.0060,,
2.1935,511,229.6,21.8,0.0065,,
2.2020,512,229.9,21.8,0.0065,,
2.2105,513,230.2,21.8,0.0060,,
2.2185,514,230.5,21.8,0.0055,,
2.2270,515,230.7,21.9,0.0060,,
2.2345,516,230.8,21.8,0.0060,,
2.2430,517,231.2,21.8,0.0065,,
2.2515,518,231.4,21.8,0.0060,,
2.2600,519,231.6,21.9,0.0060,,
2.2685,520,231.9,21.9,0.0060,,
2.2770,521,232.1,21.9,0.0065,,
2.2845,522,232.4,21.9,0.0060,,
2.2930,523,232.6,21.9,0.0065,,
2.3015,524,232.8,21.9,0.0060,,
2.3100,525,233.1,21.9,0.0060,,
2.3180,526,233.3,21.9,0.0055,,
2.3265,527,233.5,21.9,0.0065,,
2.3340,528,233.7,21.9,0.0060,,
2.3425,529,234.0,21.9,0.0065,,
2.3490,530,234.2,21.9,0.0045,,
2.3540,531,234.3,21.9,0.0035,,
2.3600,532,234.5,21.9,0.0045,,
2.3650,533,234.7,21.9,0.0040,,
2.3680,534,234.8,21.9,0.0025,,
2.3705,535,234.9,21.9,0.0020,,
2.3725,536,234.9,21.9,0.0015,,
2.3750,537,235.0,21.9,0.0020,,
2.3765,538,235.0,21.9,0.0015,,
Scope 1/1, Sample 3/33 (ACR_225_20200914_RUN_7)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-62.6,21.9,NaN,,
0.0010,1,-63.2,21.9,0.0010,,
0.0025,2,-63.3,21.9,0.0015,,
0.0050,3,-63.5,21.9,0.0025,,
0.0090,4,-63.6,21.9,0.0035,,
0.0155,5,-63.7,21.9,0.0060,,
0.0235,6,-63.8,21.9,0.0075,,
0.0320,7,-63.8,21.9,0.0075,,
0.0405,8,-63.7,21.9,0.0075,,
