Date,ZeroPoint,Slope,pH4,pH7,pH10,Notes
11/16/2020,7.102,-52.36,165.5,-1.9,-148.7,pH buffers opened 11/16/2020
11/30/2020,6.983,-57.93,172.1,-0.7,-175.4,pH buffers opened 11/30/2020
12/7/2020,6.991,-58.12,173.2,-0.5,-175.5,pH buffered opened 12/07/2020
12/16/2020,6.957,-57.22,167.7,-0.6,-175.6,pH buffers opened 12/16/2020
12/29/2020,6.981,-57.97,172.1,-0.9,-175.6,pH buffers opened 12/29/2020
9/1/2021,6.973,-58.08,172.1,-1.6,-176.4,pH nuffers opened 9/1/2021
9/3/2021,6.968,-57.92,171.3,-1.9,-176.2,pH buffers opened 9/1/2021
9/7/2021,7.045,-58.03,176.3,2.2,-171.9,"pH buffers opened 9/1/2021; first calibration values: zero point: 7.071, slope: -57.93, pH4 E: 177.5, pH7 E: 3.7, pH10 E: -170.2"
9/14/2021,7.063,-57.82,176.5,3.6,-170.4,pH buffers opened 9/14/2021
9/15/2021,7.07,-57.8,177,3.7,-169.8,pH buffers opened 9/14/2021
9/16/2021,7.085,-57.58,177.2,4.6,-168.3,pH buffers opened 9/14/2021
9/17/2021,7.057,-57.35,175.1,2.6,-169,pH buffers opened 9/14/2021
9/20/2021,6.834,-58,163.4,-8.9,-184.6,pH buffers opened 9/20/2021
9/21/2021,6.858,-57.78,164.5,-8,-182.2,pH buffers opened 9/20/2021
9/22/2021,6.858,-58,165,-7.8,-183,pH buffers opened 9/20/2021
9/23/2021,6.877,-57.7,165.3,-6.9,-180.9,pH buffers opened 9/20/2021
9/24/2021,6.868,-57.83,165,-7.1,-182,pH buffers opened 9/20/2021
9/27/2021,6.862,-57.8,165.1,-8.4,-181.7,pH buffers opened 9/27/2021
9/28/2021,6.87,-57.63,165,-7.9,-180.8,pH buffers opened 9/27/2021
9/29/2021,6.87,-57.73,165.2,-7.6,-181.2,pH buffers opened 9/27/2021
10/5/2021,6.872,-57.82,165.6,-7.6,-181.1,pH buffers opened 10/5/2021
10/8/2021,6.878,-57.55,165.1,-7.1,-180.2,pH buffers opened 10/5/2021
10/15/2021,6.81,-56.92,158.8,-9.7,-182.7,pH buffers opened 10/15/2021
10/20/2021,6.9,-57.65,166.5,-5.5,-179.4,pH buffers opened 10/20/2021
