Task,T3448
Scope 1/1, Sample 1/24 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
1.0675,132,-9.1,19.9,0.0075,,
1.0760,133,-8.5,19.9,0.0075,,
1.0845,134,-7.9,19.9,0.0075,,
1.0930,135,-7.2,19.9,0.0075,,
1.1015,136,-6.6,19.9,0.0070,,
1.1090,137,-6.0,19.9,0.0070,,
1.1175,138,-5.4,19.9,0.0075,,
1.1260,139,-4.7,19.9,0.0075,,
1.1340,140,-3.8,19.9,0.0075,,
1.1425,141,-3.1,19.9,0.0075,,
1.1510,142,-2.4,19.9,0.0075,,
1.1585,143,-1.6,19.9,0.0070,,
1.1670,144,-0.9,19.9,0.0075,,
1.1755,145,0.0,19.9,0.0075,,
1.1840,146,0.4,19.9,0.0075,,
1.1925,147,0.7,19.9,0.0075,,
1.2000,148,1.4,19.9,0.0070,,
1.2085,149,2.4,19.9,0.0075,,
1.2170,150,3.7,19.9,0.0075,,
1.2255,151,4.3,19.9,0.0075,,
1.2335,152,5.1,19.9,0.0075,,
1.2420,153,5.9,19.9,0.0075,,
1.2500,154,6.6,19.9,0.0075,,
1.2580,155,7.6,19.9,0.0075,,
1.2665,156,8.9,19.9,0.0075,,
1.2750,157,10.2,19.9,0.0075,,
1.2835,158,11.6,19.9,0.0075,,
1.2920,159,13.0,19.9,0.0070,,
1.2995,160,14.3,19.9,0.0070,,
1.3080,161,15.8,19.9,0.0075,,
1.3165,162,17.4,19.9,0.0075,,
1.3250,163,19.2,19.9,0.0075,,
1.3335,164,21.1,19.9,0.0075,,
1.3415,165,23.1,19.9,0.0075,,
1.3495,166,25.3,19.9,0.0075,,
1.3580,167,27.8,19.9,0.0075,,
1.3660,168,30.7,19.9,0.0075,,
1.3745,169,33.9,19.9,0.0075,,
1.3830,170,37.4,19.9,0.0075,,
1.3905,171,41.1,19.9,0.0070,,
1.3990,172,45.5,19.9,0.0075,,
1.4075,173,50.6,19.9,0.0075,,
1.4160,174,56.3,19.9,0.0075,,
1.4245,175,62.7,19.9,0.0075,,
1.4330,176,69.7,19.9,0.0075,,
1.4405,177,76.2,19.9,0.0070,,
1.4490,178,83.8,19.9,0.0075,,
1.4570,179,92.0,19.9,0.0075,,
1.4655,180,100.7,19.9,0.0075,,
1.4740,181,109.5,19.9,0.0075,,
1.4825,182,117.4,19.9,0.0075,,
1.4900,183,126.0,19.9,0.0070,,
1.4985,184,134.3,19.9,0.0075,,
1.5070,185,142.4,19.9,0.0075,,
1.5155,186,149.8,19.9,0.0075,,
1.5240,187,156.5,19.9,0.0075,,
1.5315,188,162.1,19.9,0.0070,,
1.5400,189,167.8,19.9,0.0075,,
1.5485,190,173.0,19.9,0.0075,,
1.5570,191,177.7,19.9,0.0075,,
1.5650,192,181.7,19.9,0.0075,,
1.5755,193,185.2,19.9,0.0075,,
1.5755,433,196.3,20.0,0.0000,,
1.5760,434,196.3,20.0,0.0005,,
1.5775,435,196.3,20.0,0.0010,,
1.5800,436,196.3,20.0,0.0020,,
1.5840,438,196.4,20.0,0.0025,,
1.5900,438,196.7,20.0,0.0120,,
1.5985,440,197.0,20.0,0.0055,,
1.6060,440,197.6,20.0,0.0185,,
1.6145,441,198.4,20.0,0.0060,,
1.6230,442,199.2,20.0,0.0055,,
1.6315,444,200.0,20.0,0.0055,,
1.6400,444,200.9,20.0,0.0170,,
1.6480,445,201.6,20.0,0.0055,,
1.6560,446,202.4,20.0,0.0055,,
1.6640,447,203.1,20.0,0.0055,,
1.6725,448,203.8,20.0,0.0055,,
1.6810,450,204.4,20.0,0.0055,,
1.6895,450,205.1,20.0,0.0170,,
1.6970,451,205.7,20.0,0.0055,,
1.7055,452,206.3,20.0,0.0060,,
1.7140,453,207.0,20.0,0.0060,,
1.7225,454,207.6,20.0,0.0055,,
1.7310,456,208.2,20.0,0.0055,,
1.7395,456,208.8,20.0,0.0170,,
1.7470,457,209.4,20.0,0.0055,,
1.7555,458,210.0,20.0,0.0060,,
1.7640,460,210.5,20.0,0.0055,,
1.7720,460,211.1,20.0,0.0160,,
1.7805,462,211.7,20.0,0.0055,,
1.7890,462,212.1,20.0,0.0170,,
1.7965,463,212.6,20.0,0.0055,,
1.8050,464,213.1,20.0,0.0060,,
1.8135,466,213.6,20.0,0.0055,,
1.8220,466,214.1,20.0,0.0170,,
1.8305,468,214.6,20.0,0.0055,,
1.8380,468,215.0,20.0,0.0185,,
1.8465,469,215.5,20.0,0.0060,,
1.8550,470,215.9,20.0,0.0060,,
1.8635,472,216.2,20.0,0.0055,,
1.8720,472,216.6,20.0,0.0170,,
1.8800,474,217.0,20.0,0.0055,,
1.8880,474,217.4,20.0,0.0200,,
1.8960,475,217.8,20.0,0.0055,,
1.9045,476,218.3,20.0,0.0060,,
1.9130,478,218.7,20.0,0.0055,,
1.9215,478,219.1,20.0,0.0170,,
1.9300,479,219.4,20.0,0.0060,,
1.9375,480,219.9,20.0,0.0055,,
1.9460,481,220.3,20.0,0.0060,,
1.9545,482,220.6,20.0,0.0055,,
1.9630,484,221.0,20.0,0.0055,,
1.9715,484,221.4,20.0,0.0170,,
1.9790,485,221.7,20.0,0.0055,,
1.9875,486,222.1,20.0,0.0060,,
1.9955,487,222.4,20.0,0.0055,,
2.0040,488,222.8,20.0,0.0055,,
2.0125,490,223.1,20.0,0.0055,,
2.0210,490,223.3,20.0,0.0170,,
2.0285,491,223.6,20.0,0.0055,,
2.0370,492,224.0,20.0,0.0060,,
2.0455,493,224.3,20.0,0.0060,,
2.0540,494,224.7,20.0,0.0055,,
2.0625,496,224.8,20.0,0.0055,,
2.0710,496,225.1,20.0,0.0170,,
2.0785,497,225.4,20.0,0.0055,,
2.0870,498,225.7,20.0,0.0060,,
2.0950,499,226.1,20.0,0.0055,,
2.1035,500,226.3,20.0,0.0055,,
2.1120,502,226.6,20.0,0.0055,,
2.1205,502,226.9,20.0,0.0170,,
2.1280,503,227.1,20.0,0.0055,,
2.1365,504,227.4,20.0,0.0060,,
2.1450,506,227.7,20.0,0.0055,,
2.1535,506,228.0,20.0,0.0170,,
2.1620,508,228.2,20.0,0.0055,,
2.1705,508,228.5,20.0,0.0170,,
2.1780,509,228.7,20.0,0.0055,,
2.1865,510,229.0,20.0,0.0060,,
2.1945,512,229.2,20.0,0.0055,,
2.2030,512,229.5,20.0,0.0170,,
2.2115,514,229.8,20.0,0.0055,,
2.2200,514,230.0,20.0,0.0170,,
2.2275,515,230.2,20.0,0.0055,,
2.2360,516,230.5,20.0,0.0060,,
2.2445,518,230.7,20.0,0.0055,,
2.2530,518,231.0,20.0,0.0170,,
2.2615,520,231.3,20.0,0.0055,,
2.2690,520,231.6,20.0,0.0185,,
2.2775,521,231.8,20.0,0.0060,,
2.2860,522,232.0,20.0,0.0060,,
2.2940,524,232.2,20.0,0.0055,,
2.3025,524,232.5,20.0,0.0170,,
2.3110,526,232.7,20.0,0.0055,,
2.3185,526,232.9,20.0,0.0185,,
2.3270,527,233.0,20.0,0.0060,,
2.3355,528,233.2,20.0,0.0060,,
2.3440,530,233.4,20.0,0.0055,,
2.3525,530,233.6,20.0,0.0170,,
2.3610,532,233.8,20.0,0.0055,,
2.3685,532,234.0,20.0,0.0185,,
2.3755,533,234.3,20.0,0.0050,,
2.3785,534,234.5,20.0,0.0020,,
2.3785,536,234.5,20.0,0.0000,,
2.3800,536,234.7,20.0,0.0030,,
2.3815,537,234.7,20.0,0.0010,,
2.3830,538,234.8,20.0,0.0010,,
2.3865,539,234.8,20.0,0.0025,,
2.3910,540,234.8,20.0,0.0030,,
2.3965,542,234.9,20.0,0.0035,,
2.3995,542,235.1,20.0,0.0100,,
Scope 1/1, Sample 2/24 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-101.5,19.8,NaN,,
0.0010,1,-101.6,19.8,0.0010,,
0.0025,2,-101.6,19.8,0.0015,,
0.0050,3,-101.6,19.8,0.0020,,
0.0090,4,-101.6,19.8,0.0035,,
0.0150,5,-101.7,19.8,0.0055,,
0.0235,6,-101.6,19.8,0.0075,,
0.0320,7,-101.5,19.8,0.0075,,
0.0405,8,-101.4,19.8,0.0075,,
0.0480,9,-101.3,19.8,0.0070,,
0.0565,10,-101.0,19.8,0.0075,,
0.0650,11,-100.8,19.8,0.0075,,
0.0735,12,-100.6,19.9,0.0075,,
0.0820,13,-100.3,19.9,0.0075,,
0.0905,14,-99.9,19.9,0.0075,,
0.0980,15,-99.6,19.9,0.0070,,
0.1065,16,-99.1,19.8,0.0075,,
0.1150,17,-98.6,19.9,0.0075,,
0.1230,18,-98.2,19.9,0.0075,,
0.1315,19,-97.6,19.9,0.0075,,
0.1400,20,-97.0,19.9,0.0075,,
0.1475,21,-96.6,19.9,0.0070,,
0.1560,22,-95.9,19.9,0.0075,,
0.1645,23,-95.3,19.9,0.0075,,
0.1730,24,-94.6,19.9,0.0075,,
0.1815,25,-94.0,19.9,0.0075,,
0.1900,26,-93.4,19.9,0.0070,,
0.1975,27,-92.7,19.9,0.0070,,
0.2060,28,-92.1,19.9,0.0075,,
0.2140,29,-91.4,19.9,0.0075,,
0.2225,30,-90.7,19.9,0.0075,,
0.2310,31,-89.9,19.9,0.0075,,
0.2395,32,-89.3,19.9,0.0075,,
0.2470,33,-88.4,19.9,0.0070,,
0.2555,34,-87.6,19.9,0.0075,,
0.2640,35,-86.7,19.9,0.0075,,
0.2725,36,-85.8,19.9,0.0075,,
0.2810,37,-85.1,19.9,0.0075,,
0.2885,38,-84.3,19.9,0.0070,,
0.2970,39,-83.5,19.9,0.0075,,
0.3055,40,-82.5,19.9,0.0075,,
0.3140,41,-81.7,19.9,0.0075,,
0.3220,42,-80.7,19.9,0.0075,,
0.3305,43,-79.7,19.9,0.0075,,
0.3380,44,-78.9,19.9,0.0070,,
0.3465,45,-77.8,19.9,0.0075,,
0.3550,46,-76.8,19.9,0.0075,,
0.3635,47,-75.7,19.9,0.0075,,
0.3720,48,-74.7,19.9,0.0075,,
0.3805,49,-73.8,19.9,0.0075,,
0.3880,50,-72.6,19.9,0.0070,,
0.3965,51,-71.6,19.9,0.0075,,
0.4050,52,-70.4,19.9,0.0075,,
0.4135,53,-69.2,19.9,0.0075,,
0.4215,54,-68.1,19.9,0.0075,,
0.4300,55,-67.0,19.9,0.0075,,
0.4375,56,-65.8,19.9,0.0070,,
0.4460,57,-64.6,19.9,0.0075,,
0.4545,58,-63.4,19.9,0.0075,,
0.4630,59,-62.2,19.9,0.0075,,
0.4715,60,-61.0,19.9,0.0075,,
0.4790,61,-59.9,19.9,0.0070,,
0.4875,62,-58.8,19.9,0.0075,,
0.4960,63,-57.5,19.9,0.0075,,
0.5045,64,-56.4,19.9,0.0075,,
0.5130,65,-55.2,19.9,0.0075,,
0.5210,66,-54.0,19.9,0.0075,,
0.5290,67,-53.1,19.9,0.0075,,
0.5370,68,-52.1,19.9,0.0075,,
0.5455,69,-51.1,19.9,0.0075,,
0.5540,70,-50.0,19.9,0.0075,,
0.5625,71,-49.1,19.9,0.0075,,
0.5710,72,-48.2,19.9,0.0070,,
0.5785,73,-47.5,19.9,0.0070,,
0.5870,74,-46.6,19.9,0.0075,,
0.5955,75,-45.7,19.9,0.0075,,
0.6040,76,-44.8,19.9,0.0075,,
0.6125,77,-44.0,19.9,0.0075,,
0.6200,78,-43.2,19.9,0.0070,,
0.6285,79,-42.5,19.9,0.0075,,
0.6370,80,-41.8,19.9,0.0075,,
0.6455,81,-41.0,19.9,0.0075,,
0.6535,82,-40.3,19.9,0.0075,,
0.6620,83,-39.5,19.9,0.0075,,
0.6695,84,-38.9,19.9,0.0070,,
0.6780,85,-38.1,19.9,0.0075,,
0.6865,86,-37.4,19.9,0.0075,,
0.6950,87,-36.7,19.9,0.0075,,
0.7035,88,-36.0,19.9,0.0075,,
0.7120,89,-35.4,19.9,0.0075,,
0.7195,90,-34.7,19.9,0.0070,,
0.7280,91,-34.1,19.9,0.0075,,
0.7365,92,-33.4,19.9,0.0075,,
0.7445,93,-32.8,19.9,0.0075,,
0.7530,94,-32.2,19.9,0.0075,,
0.7615,95,-31.6,19.9,0.0070,,
0.7690,96,-31.0,19.9,0.0070,,
0.7775,97,-30.5,19.9,0.0075,,
0.7860,98,-29.9,19.9,0.0075,,
0.7945,99,-29.3,19.9,0.0075,,
0.8030,100,-28.7,19.9,0.0075,,
0.8115,101,-28.1,19.9,0.0075,,
0.8190,102,-27.5,19.9,0.0070,,
0.8275,103,-26.9,19.9,0.0075,,
0.8360,104,-26.3,19.9,0.0075,,
0.8440,105,-25.7,19.9,0.0075,,
0.8525,106,-25.1,19.9,0.0075,,
0.8600,107,-24.6,19.9,0.0070,,
0.8685,108,-24.0,19.9,0.0075,,
0.8770,109,-23.5,19.9,0.0075,,
0.8855,110,-22.9,19.9,0.0075,,
0.8940,111,-22.4,19.9,0.0075,,
0.9025,112,-21.9,19.9,0.0075,,
0.9100,113,-21.4,19.9,0.0070,,
0.9185,114,-20.8,19.9,0.0075,,
0.9270,115,-20.2,19.9,0.0075,,
0.9355,116,-19.6,19.9,0.0075,,
0.9435,117,-19.0,19.9,0.0075,,
0.9520,118,-18.4,19.9,0.0075,,
0.9595,119,-17.9,19.9,0.0070,,
0.9680,120,-17.4,19.9,0.0075,,
0.9765,121,-16.7,19.9,0.0075,,
0.9850,122,-16.1,19.9,0.0075,,
0.9935,123,-15.6,19.9,0.0075,,
1.0020,124,-15.1,19.9,0.0075,,
1.0095,125,-14.5,19.9,0.0070,,
1.0180,126,-13.9,19.9,0.0075,,
1.0265,127,-13.4,19.9,0.0075,,
1.0345,128,-12.8,19.9,0.0075,,
1.0430,129,-12.2,19.9,0.0075,,
1.0515,130,-11.7,19.9,0.0075,,
1.0590,131,-11.2,19.9,0.0070,,
1.0675,132,-10.6,19.9,0.0075,,
1.0760,133,-10.0,19.9,0.0075,,
1.0845,134,-9.4,19.9,0.0075,,
1.0930,135,-8.7,19.9,0.0075,,
1.1015,136,-8.2,19.9,0.0075,,
1.1090,137,-7.5,19.9,0.0070,,
1.1175,138,-6.9,19.9,0.0075,,
1.1260,139,-6.3,19.9,0.0075,,
1.1345,140,-5.6,19.9,0.0075,,
1.1425,141,-4.9,19.9,0.0075,,
1.1505,142,-4.0,19.9,0.0075,,
1.1590,143,-3.3,19.9,0.0075,,
1.1670,144,-2.5,19.9,0.0075,,
1.1755,145,-1.7,19.9,0.0075,,
1.1840,146,-0.7,19.9,0.0075,,
1.1925,147,-0.1,19.9,0.0075,,
1.2000,148,0.1,19.9,0.0070,,
1.2085,149,1.0,19.9,0.0075,,
1.2170,150,2.0,19.9,0.0075,,
1.2255,151,3.5,19.9,0.0075,,
1.2340,152,4.0,19.9,0.0075,,
1.2425,153,4.8,19.9,0.0075,,
1.2500,154,5.7,19.9,0.0070,,
1.2585,155,6.6,19.9,0.0075,,
1.2665,156,7.6,19.9,0.0075,,
1.2750,157,9.0,19.9,0.0075,,
1.2835,158,10.4,19.9,0.0075,,
1.2920,159,11.8,19.9,0.0075,,
1.2995,160,13.3,19.9,0.0070,,
1.3080,161,14.8,19.9,0.0075,,
1.3165,162,16.5,19.9,0.0075,,
1.3250,163,18.2,19.9,0.0075,,
1.3335,164,20.2,19.9,0.0075,,
1.3410,165,22.2,19.9,0.0070,,
1.3495,166,24.6,19.9,0.0075,,
1.3580,167,27.3,19.9,0.0075,,
1.3660,168,30.2,19.9,0.0075,,
1.3745,169,33.7,19.9,0.0075,,
1.3830,170,37.7,19.9,0.0075,,
1.3905,171,41.7,19.9,0.0070,,
1.3990,172,46.6,19.9,0.0075,,
1.4075,173,52.2,19.9,0.0075,,
1.4160,174,58.5,19.9,0.0075,,
1.4245,175,65.2,19.9,0.0075,,
1.4325,176,72.5,19.9,0.0075,,
1.4405,177,79.7,19.9,0.0075,,
1.4490,178,87.8,19.9,0.0075,,
1.4570,179,95.9,19.9,0.0075,,
1.4655,180,104.8,19.9,0.0075,,
1.4740,181,113.8,19.9,0.0075,,
1.4825,182,122.5,19.9,0.0075,,
1.4900,183,130.1,19.9,0.0070,,
1.4985,184,138.4,19.9,0.0075,,
1.5070,185,146.2,19.9,0.0075,,
1.5155,186,153.6,19.9,0.0075,,
1.5240,187,160.3,19.9,0.0075,,
1.5325,188,166.0,19.9,0.0075,,
1.5400,189,171.5,19.9,0.0070,,
1.5485,190,176.5,19.9,0.0075,,
1.5565,191,180.7,19.9,0.0075,,
1.5650,192,184.3,19.9,0.0075,,
1.5695,193,185.3,19.9,0.0075,,
1.5695,433,196.2,20.0,0.0000,,
1.5700,434,196.2,20.0,0.0005,,
1.5715,435,196.1,20.0,0.0020,,
1.5740,436,196.2,20.0,0.0030,,
1.5780,437,196.2,20.0,0.0045,,
1.5845,438,196.5,20.0,0.0070,,
1.5930,439,196.9,20.0,0.0095,,
1.6005,440,197.4,20.0,0.0095,,
1.6090,441,198.2,20.0,0.0105,,
1.6175,442,199.1,20.0,0.0095,,
1.6260,443,199.8,20.0,0.0095,,
1.6345,444,200.6,20.0,0.0095,,
1.6425,445,201.4,20.0,0.0100,,
1.6505,446,202.1,20.0,0.0100,,
1.6585,447,202.8,20.0,0.0100,,
1.6670,448,203.6,20.0,0.0095,,
1.6755,449,204.2,20.0,0.0095,,
1.6840,450,204.9,20.0,0.0095,,
1.6925,451,205.6,20.0,0.0105,,
1.7000,452,206.2,20.0,0.0095,,
1.7085,453,206.9,20.0,0.0105,,
1.7170,454,207.4,20.0,0.0095,,
1.7255,455,208.0,20.0,0.0095,,
1.7335,456,208.5,20.0,0.0090,,
1.7415,457,209.1,20.0,0.0100,,
1.7495,458,209.6,20.0,0.0100,,
1.7580,459,210.1,20.0,0.0105,,
1.7665,460,210.6,20.0,0.0095,,
1.7750,461,211.2,20.0,0.0095,,
1.7835,462,211.7,20.0,0.0095,,
1.7910,463,212.1,20.0,0.0095,,
1.7995,464,212.7,20.0,0.0105,,
1.8080,465,213.2,20.0,0.0105,,
1.8165,466,213.6,20.0,0.0095,,
1.8250,467,214.1,20.0,0.0095,,
1.8330,468,214.6,20.0,0.0090,,
1.8410,469,215.0,20.0,0.0100,,
1.8490,470,215.4,20.0,0.0100,,
1.8575,471,215.8,20.0,0.0105,,
1.8660,472,216.4,20.0,0.0095,,
1.8745,473,216.9,20.0,0.0095,,
1.8830,474,217.3,20.0,0.0095,,
1.8915,475,217.6,20.0,0.0105,,
1.8990,476,218.0,20.0,0.0095,,
1.9075,477,218.4,20.0,0.0105,,
1.9155,478,218.8,20.0,0.0090,,
1.9240,479,219.2,20.0,0.0095,,
1.9325,480,219.6,20.0,0.0095,,
1.9410,481,219.9,20.0,0.0105,,
1.9485,482,220.2,20.0,0.0095,,
1.9570,483,220.6,20.0,0.0105,,
1.9655,484,221.0,20.0,0.0095,,
1.9740,485,221.3,20.0,0.0095,,
1.9825,486,221.7,20.0,0.0095,,
1.9905,487,221.9,20.0,0.0100,,
1.9985,488,222.2,20.0,0.0100,,
2.0065,489,222.5,20.0,0.0100,,
2.0150,490,222.8,20.0,0.0105,,
2.0235,491,223.2,20.0,0.0095,,
2.0320,492,223.5,20.0,0.0095,,
2.0405,493,223.8,20.0,0.0095,,
2.0480,494,224.1,20.0,0.0095,,
2.0565,495,224.3,20.0,0.0105,,
2.0650,496,224.7,20.0,0.0105,,
2.0735,497,225.0,20.0,0.0095,,
2.0815,498,225.3,20.0,0.0090,,
2.0900,499,225.6,20.0,0.0095,,
2.0975,500,225.9,20.0,0.0095,,
2.1060,501,226.2,20.0,0.0105,,
2.1145,502,226.5,20.0,0.0105,,
2.1230,503,226.7,20.0,0.0095,,
2.1315,504,227.0,20.0,0.0095,,
2.1400,505,227.3,20.0,0.0095,,
2.1475,506,227.5,20.0,0.0095,,
2.1560,507,227.7,20.0,0.0105,,
2.1640,508,228.1,20.0,0.0100,,
2.1725,509,228.3,20.0,0.0095,,
2.1810,510,228.5,20.0,0.0095,,
2.1895,511,228.8,20.0,0.0095,,
2.1970,512,229.1,20.0,0.0095,,
2.2055,513,229.2,20.0,0.0105,,
2.2140,514,229.5,20.0,0.0105,,
2.2225,515,229.8,20.0,0.0095,,
2.2310,516,230.0,20.0,0.0095,,
2.2395,517,230.3,20.0,0.0095,,
2.2470,518,230.5,20.0,0.0095,,
2.2555,519,230.8,20.0,0.0105,,
2.2635,520,231.0,20.0,0.0090,,
2.2720,521,231.3,20.0,0.0095,,
2.2805,522,231.5,20.0,0.0095,,
2.2890,523,231.8,20.0,0.0095,,
2.2965,524,231.9,20.0,0.0095,,
2.3050,525,232.2,20.0,0.0105,,
2.3135,526,232.4,20.0,0.0095,,
2.3220,527,232.7,20.0,0.0095,,
2.3305,528,232.9,20.0,0.0095,,
2.3390,529,233.1,20.0,0.0105,,
2.3465,530,233.3,20.0,0.0095,,
2.3550,531,233.4,20.0,0.0105,,
2.3630,532,233.7,20.0,0.0090,,
2.3715,533,234.0,20.0,0.0095,,
2.3800,534,234.1,20.0,0.0095,,
2.3875,535,234.3,20.0,0.0085,,
2.3925,536,234.5,20.0,0.0060,,
2.3945,537,234.7,20.0,0.0025,,
2.3955,538,234.7,20.0,0.0010,,
2.3970,539,234.8,20.0,0.0015,,
2.3990,540,234.8,20.0,0.0020,,
2.4020,541,234.9,20.0,0.0035,,
2.4055,542,234.9,20.0,0.0045,,
2.4105,543,235.0,20.0,0.0045,,
Scope 1/1, Sample 3/24 (POC_207_20200914_RUN_8)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-60.7,20.1,NaN,,
