Task,T3402
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
1.6330,444,197.5,19.9,0.0105,,
1.6415,445,198.4,19.9,0.0105,,
1.6500,446,199.2,19.9,0.0105,,
1.6580,447,199.9,19.9,0.0115,,
1.6660,448,200.7,19.9,0.0115,,
1.6740,449,201.4,19.9,0.0115,,
1.6825,450,202.2,19.9,0.0120,,
1.6910,451,202.9,19.9,0.0105,,
1.6995,452,203.6,19.9,0.0105,,
1.7080,453,204.4,19.9,0.0105,,
1.7155,454,204.9,19.9,0.0105,,
1.7240,455,205.5,19.9,0.0120,,
1.7325,456,206.1,19.9,0.0105,,
1.7410,457,206.8,19.9,0.0105,,
1.7490,458,207.3,19.9,0.0100,,
1.7575,459,207.9,19.9,0.0105,,
1.7650,460,208.5,19.9,0.0105,,
1.7735,461,209.1,19.9,0.0120,,
1.7820,462,209.6,19.9,0.0120,,
1.7905,463,210.2,19.9,0.0105,,
1.7990,464,210.7,19.9,0.0105,,
1.8075,465,211.2,19.9,0.0105,,
1.8150,466,211.7,19.9,0.0105,,
1.8235,467,212.2,19.9,0.0120,,
1.8315,468,212.6,19.9,0.0115,,
1.8400,469,213.1,19.9,0.0105,,
1.8485,470,213.6,19.9,0.0105,,
1.8570,471,214.0,19.9,0.0105,,
1.8655,472,214.5,19.9,0.0120,,
1.8730,473,214.9,19.9,0.0105,,
1.8815,474,215.4,19.9,0.0120,,
1.8900,475,215.7,19.9,0.0105,,
1.8980,476,216.2,19.9,0.0100,,
1.9065,477,216.7,19.9,0.0105,,
1.9150,478,217.0,19.9,0.0120,,
1.9225,479,217.4,19.9,0.0105,,
1.9310,480,217.8,19.9,0.0120,,
1.9395,481,218.2,19.9,0.0105,,
1.9480,482,218.6,19.9,0.0105,,
1.9565,483,219.0,19.9,0.0105,,
1.9650,484,219.3,19.9,0.0120,,
1.9725,485,219.7,19.9,0.0105,,
1.9810,486,220.0,19.9,0.0120,,
1.9890,487,220.4,19.9,0.0115,,
1.9975,488,220.8,19.9,0.0105,,
2.0060,489,221.0,19.9,0.0105,,
2.0145,490,221.4,19.9,0.0105,,
2.0220,491,221.7,19.9,0.0105,,
2.0305,492,222.0,19.9,0.0120,,
2.0390,493,222.4,19.9,0.0120,,
2.0475,494,222.7,19.9,0.0105,,
2.0560,495,223.0,19.9,0.0105,,
2.0640,496,223.3,19.9,0.0100,,
2.0720,497,223.6,19.9,0.0115,,
2.0800,498,223.9,19.9,0.0115,,
2.0885,499,224.2,19.9,0.0120,,
2.0970,500,224.5,19.9,0.0105,,
2.1055,501,224.8,19.9,0.0105,,
2.1140,502,225.1,19.9,0.0105,,
2.1215,503,225.3,19.9,0.0105,,
2.1300,504,225.6,19.9,0.0120,,
2.1385,505,226.0,19.9,0.0120,,
2.1470,506,226.2,19.9,0.0105,,
2.1550,507,226.5,19.9,0.0100,,
2.1635,508,226.7,19.9,0.0105,,
2.1710,509,227.0,19.9,0.0105,,
2.1795,510,227.3,19.9,0.0120,,
2.1880,511,227.5,19.9,0.0120,,
2.1965,512,227.8,19.9,0.0105,,
2.2050,513,228.0,19.9,0.0105,,
2.2135,514,228.4,19.9,0.0105,,
2.2210,515,228.6,19.9,0.0105,,
2.2295,516,228.8,19.9,0.0120,,
2.2380,517,229.1,19.9,0.0120,,
2.2460,518,229.3,19.9,0.0100,,
2.2545,519,229.6,19.9,0.0105,,
2.2630,520,229.8,19.9,0.0105,,
2.2705,521,230.0,19.9,0.0105,,
2.2790,522,230.3,19.9,0.0120,,
2.2875,523,230.5,19.9,0.0120,,
2.2960,524,230.7,19.9,0.0105,,
2.3045,525,231.0,19.9,0.0105,,
2.3130,526,231.2,19.9,0.0105,,
2.3205,527,231.4,19.9,0.0105,,
2.3290,528,231.6,19.9,0.0120,,
2.3370,529,231.8,19.9,0.0115,,
2.3455,530,232.0,19.9,0.0105,,
2.3540,531,232.3,19.9,0.0105,,
2.3625,532,232.5,19.9,0.0105,,
2.3700,533,232.7,19.9,0.0105,,
2.3785,534,232.9,19.9,0.0120,,
2.3870,535,233.2,19.9,0.0120,,
2.3955,536,233.3,19.9,0.0105,,
2.4035,537,233.5,19.9,0.0100,,
2.4120,538,233.7,19.9,0.0105,,
2.4205,539,233.9,19.9,0.0120,,
2.4280,540,234.1,19.9,0.0105,,
2.4350,541,234.3,19.9,0.0100,,
2.4395,542,234.5,19.9,0.0055,,
2.4395,543,234.7,19.9,0.0000,,
2.4415,544,234.8,19.9,0.0025,,
2.4425,545,234.8,19.9,0.0015,,
2.4435,546,234.8,19.9,0.0015,,
2.4455,547,234.9,19.9,0.0030,,
2.4480,548,234.9,19.9,0.0035,,
2.4520,549,235.0,19.9,0.0050,,
2.4560,550,235.0,19.9,0.0080,,
Scope 1/1, Sample 2/4 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-97.8,19.8,NaN,,
0.0010,1,-97.9,19.8,0.0010,,
0.0025,2,-97.9,19.8,0.0015,,
0.0050,3,-97.9,19.8,0.0025,,
0.0085,4,-97.9,19.8,0.0030,,
0.0150,5,-97.9,19.8,0.0060,,
0.0230,6,-97.9,19.8,0.0075,,
0.0315,7,-97.9,19.8,0.0075,,
0.0400,8,-97.8,19.8,0.0075,,
0.0475,9,-97.7,19.8,0.0075,,
0.0560,10,-97.5,19.8,0.0075,,
0.0645,11,-97.3,19.8,0.0075,,
0.0730,12,-97.0,19.8,0.0075,,
0.0810,13,-96.7,19.8,0.0075,,
0.0895,14,-96.3,19.8,0.0075,,
0.0980,15,-96.0,19.8,0.0085,,
0.1055,16,-95.6,19.8,0.0070,,
0.1140,17,-95.1,19.8,0.0075,,
0.1225,18,-94.7,19.8,0.0075,,
0.1310,19,-94.2,19.8,0.0075,,
0.1395,20,-93.7,19.8,0.0075,,
0.1480,21,-93.2,19.8,0.0085,,
0.1555,22,-92.7,19.8,0.0070,,
0.1640,23,-92.1,19.8,0.0075,,
0.1720,24,-91.5,19.8,0.0075,,
0.1805,25,-90.9,19.8,0.0075,,
0.1890,26,-90.2,19.8,0.0075,,
0.1975,27,-89.6,19.8,0.0085,,
0.2050,28,-88.9,19.8,0.0070,,
0.2135,29,-88.2,19.8,0.0075,,
0.2220,30,-87.4,19.8,0.0075,,
0.2305,31,-86.7,19.8,0.0075,,
0.2390,32,-85.9,19.8,0.0075,,
0.2470,33,-85.2,19.8,0.0080,,
0.2550,34,-84.4,19.8,0.0075,,
0.2630,35,-83.6,19.8,0.0075,,
0.2715,36,-82.7,19.8,0.0075,,
0.2800,37,-81.9,19.8,0.0075,,
0.2885,38,-81.0,19.8,0.0075,,
0.2960,39,-80.2,19.8,0.0075,,
0.3045,40,-79.2,19.8,0.0075,,
0.3130,41,-78.2,19.8,0.0075,,
0.3215,42,-77.2,19.8,0.0075,,
0.3300,43,-76.2,19.8,0.0075,,
0.3385,44,-75.2,19.8,0.0075,,
0.3460,45,-74.3,19.8,0.0075,,
0.3545,46,-73.2,19.8,0.0075,,
0.3625,47,-72.2,19.8,0.0075,,
0.3710,48,-71.0,19.8,0.0075,,
0.3795,49,-70.0,19.8,0.0075,,
0.3880,50,-68.9,19.8,0.0075,,
0.3965,51,-67.9,19.8,0.0085,,
0.4040,52,-66.8,19.8,0.0070,,
0.4125,53,-65.6,19.8,0.0075,,
0.4210,54,-64.4,19.8,0.0075,,
0.4290,55,-63.2,19.8,0.0075,,
0.4375,56,-62.0,19.8,0.0075,,
0.4460,57,-60.8,19.8,0.0075,,
0.4535,58,-59.7,19.8,0.0070,,
0.4620,59,-58.6,19.8,0.0075,,
0.4705,60,-57.4,19.8,0.0075,,
0.4790,61,-56.3,19.8,0.0075,,
0.4875,62,-55.3,19.8,0.0075,,
0.4960,63,-54.3,19.8,0.0085,,
0.5035,64,-53.4,19.8,0.0070,,
0.5120,65,-52.4,19.8,0.0075,,
0.5200,66,-51.4,19.8,0.0075,,
0.5285,67,-50.4,19.8,0.0075,,
0.5370,68,-49.6,19.8,0.0075,,
0.5455,69,-48.6,19.8,0.0075,,
0.5530,70,-47.9,19.8,0.0070,,
0.5615,71,-47.0,19.8,0.0075,,
0.5700,72,-46.2,19.8,0.0075,,
0.5785,73,-45.3,19.8,0.0075,,
0.5870,74,-44.5,19.8,0.0075,,
0.5950,75,-43.7,19.8,0.0075,,
0.6030,76,-43.1,19.8,0.0075,,
0.6110,77,-42.3,19.8,0.0075,,
0.6195,78,-41.6,19.8,0.0075,,
0.6280,79,-40.9,19.8,0.0075,,
0.6365,80,-40.2,19.8,0.0075,,
0.6450,81,-39.4,19.8,0.0075,,
0.6525,82,-38.8,19.8,0.0070,,
0.6610,83,-38.1,19.8,0.0075,,
0.6695,84,-37.5,19.8,0.0075,,
0.6780,85,-36.8,19.8,0.0075,,
0.6860,86,-36.2,19.8,0.0075,,
0.6945,87,-35.5,19.8,0.0075,,
0.7020,88,-35.0,19.8,0.0070,,
0.7105,89,-34.4,19.8,0.0075,,
0.7190,90,-33.7,19.8,0.0075,,
0.7275,91,-33.1,19.8,0.0075,,
0.7360,92,-32.5,19.8,0.0075,,
0.7445,93,-31.9,19.8,0.0075,,
0.7520,94,-31.4,19.8,0.0075,,
0.7605,95,-30.8,19.8,0.0075,,
0.7690,96,-30.2,19.8,0.0075,,
0.7770,97,-29.6,19.8,0.0075,,
0.7855,98,-29.0,19.8,0.0075,,
0.7940,99,-28.4,19.8,0.0075,,
0.8015,100,-27.9,19.8,0.0070,,
0.8100,101,-27.3,19.8,0.0075,,
0.8185,102,-26.8,19.8,0.0075,,
0.8270,103,-26.2,19.8,0.0075,,
0.8355,104,-25.6,19.8,0.0075,,
0.8440,105,-25.1,19.8,0.0075,,
0.8515,106,-24.6,19.8,0.0070,,
0.8600,107,-24.0,19.8,0.0075,,
0.8680,108,-23.5,19.8,0.0075,,
0.8765,109,-22.9,19.8,0.0075,,
0.8850,110,-22.4,19.8,0.0075,,
0.8935,111,-21.8,19.8,0.0075,,
0.9010,112,-21.3,19.8,0.0075,,
0.9095,113,-20.8,19.8,0.0075,,
0.9180,114,-20.2,19.8,0.0075,,
0.9265,115,-19.7,19.8,0.0075,,
0.9345,116,-19.1,19.8,0.0075,,
0.9430,117,-18.6,19.8,0.0075,,
0.9510,118,-18.1,19.8,0.0080,,
0.9590,119,-17.5,19.8,0.0075,,
0.9675,120,-17.0,19.8,0.0075,,
0.9760,121,-16.4,19.8,0.0075,,
0.9845,122,-15.9,19.8,0.0075,,
0.9930,123,-15.3,19.8,0.0075,,
1.0015,124,-14.8,19.8,0.0075,,
1.0090,125,-14.2,19.8,0.0070,,
1.0175,126,-13.7,19.8,0.0075,,
1.0255,127,-13.1,19.8,0.0075,,
1.0340,128,-12.5,19.8,0.0075,,
1.0425,129,-12.0,19.8,0.0075,,
1.0510,130,-11.4,19.8,0.0075,,
1.0585,131,-10.9,19.8,0.0070,,
1.0670,132,-10.3,19.8,0.0075,,
1.0755,133,-9.7,19.8,0.0075,,
1.0840,134,-9.1,19.8,0.0075,,
1.0925,135,-8.5,19.8,0.0075,,
1.1005,136,-8.0,19.8,0.0075,,
1.1085,137,-7.4,19.8,0.0075,,
1.1165,138,-6.8,19.8,0.0075,,
1.1250,139,-6.2,19.8,0.0075,,
1.1335,140,-5.5,19.8,0.0075,,
1.1420,141,-4.8,19.8,0.0075,,
1.1505,142,-4.0,19.8,0.0075,,
1.1580,143,-3.3,19.8,0.0070,,
1.1665,144,-2.5,19.8,0.0075,,
1.1750,145,-1.6,19.8,0.0075,,
1.1835,146,-0.7,19.8,0.0075,,
1.1915,147,0.0,19.8,0.0075,,
1.2000,148,0.1,19.8,0.0075,,
1.2075,149,0.8,19.8,0.0070,,
1.2160,150,1.6,19.8,0.0075,,
1.2245,151,2.7,19.8,0.0075,,
1.2330,152,3.6,19.8,0.0075,,
1.2415,153,4.4,19.8,0.0075,,
1.2500,154,5.3,19.8,0.0075,,
1.2575,155,6.0,19.8,0.0075,,
1.2660,156,6.9,19.8,0.0075,,
1.2740,157,8.0,19.8,0.0075,,
1.2825,158,9.3,19.8,0.0075,,
1.2910,159,10.6,19.8,0.0075,,
1.2995,160,12.1,19.8,0.0075,,
1.3070,161,13.5,19.8,0.0070,,
1.3155,162,15.0,19.9,0.0075,,
1.3240,163,16.7,19.9,0.0075,,
1.3325,164,18.5,19.9,0.0075,,
1.3410,165,20.4,19.9,0.0075,,
1.3490,166,22.8,19.9,0.0075,,
1.3575,167,25.1,19.9,0.0085,,
1.3650,168,27.9,19.9,0.0070,,
1.3735,169,31.1,19.9,0.0075,,
1.3820,170,34.6,19.9,0.0075,,
1.3905,171,38.8,19.9,0.0075,,
1.3990,172,43.6,19.9,0.0075,,
1.4075,173,48.2,19.9,0.0085,,
1.4150,174,53.7,19.9,0.0070,,
1.4235,175,60.2,19.9,0.0075,,
1.4320,176,67.3,19.9,0.0075,,
1.4400,177,74.8,19.9,0.0075,,
1.4485,178,82.7,19.9,0.0075,,
1.4570,179,90.5,19.9,0.0085,,
1.4645,180,99.5,19.9,0.0070,,
1.4730,181,108.8,19.9,0.0075,,
1.4815,182,117.4,19.9,0.0075,,
1.4900,183,125.8,19.9,0.0075,,
1.4985,184,134.5,19.9,0.0075,,
1.5070,185,142.0,19.9,0.0085,,
1.5145,186,150.3,19.9,0.0070,,
1.5230,187,158.1,19.9,0.0075,,
1.5310,188,164.9,19.9,0.0075,,
1.5395,189,170.6,19.9,0.0075,,
1.5480,190,176.1,19.9,0.0075,,
1.5565,191,180.7,19.9,0.0075,,
1.5640,192,183.9,19.9,0.0070,,
1.5695,193,185.2,19.9,0.0070,,
1.5695,433,195.5,19.9,0.0000,,
1.5700,434,195.5,19.9,0.0005,,
1.5715,435,195.5,19.9,0.0015,,
1.5740,436,195.5,19.9,0.0025,,
1.5785,437,195.5,19.9,0.0045,,
1.5845,438,195.6,19.9,0.0060,,
1.5930,439,195.9,19.9,0.0085,,
1.6005,440,196.3,19.9,0.0085,,
1.6090,441,196.9,19.9,0.0095,,
1.6175,442,197.7,19.9,0.0095,,
1.6260,443,198.6,19.9,0.0085,,
1.6345,444,199.4,19.9,0.0085,,
1.6425,445,200.2,19.9,0.0080,,
1.6505,446,200.9,19.9,0.0090,,
1.6585,447,201.7,19.9,0.0090,,
1.6670,448,202.4,19.9,0.0095,,
1.6755,449,203.1,19.9,0.0085,,
1.6840,450,203.8,19.9,0.0085,,
1.6925,451,204.4,19.9,0.0085,,
1.7000,452,205.1,19.9,0.0085,,
1.7085,453,205.7,19.9,0.0095,,
1.7170,454,206.3,19.9,0.0095,,
1.7255,455,206.9,19.9,0.0085,,
1.7335,456,207.6,19.9,0.0080,,
1.7420,457,208.1,19.9,0.0085,,
1.7495,458,208.7,19.9,0.0085,,
1.7580,459,209.2,19.9,0.0095,,
1.7665,460,209.7,19.9,0.0095,,
1.7750,461,210.2,19.9,0.0085,,
1.7835,462,210.8,19.9,0.0085,,
1.7920,463,211.3,19.9,0.0085,,
1.7995,464,211.8,19.9,0.0085,,
1.8080,465,212.2,19.9,0.0095,,
1.8165,466,212.7,19.9,0.0095,,
1.8245,467,213.2,19.9,0.0080,,
1.8330,468,213.6,19.9,0.0085,,
1.8415,469,214.2,19.9,0.0085,,
1.8490,470,214.5,19.9,0.0085,,
1.8575,471,214.9,19.9,0.0085,,
1.8660,472,215.3,19.9,0.0095,,
1.8745,473,215.8,19.9,0.0085,,
1.8830,474,216.2,19.9,0.0085,,
1.8915,475,216.6,19.9,0.0085,,
1.8990,476,217.0,19.9,0.0085,,
1.9070,477,217.4,19.9,0.0090,,
1.9155,478,217.8,19.9,0.0095,,
1.9240,479,218.1,19.9,0.0085,,
1.9325,480,218.5,19.9,0.0085,,
1.9410,481,218.9,19.9,0.0085,,
1.9485,482,219.2,19.9,0.0085,,
1.9570,483,219.6,19.9,0.0095,,
1.9655,484,220.0,19.9,0.0095,,
1.9740,485,220.3,19.9,0.0085,,
1.9820,486,220.6,19.9,0.0080,,
1.9905,487,221.0,19.9,0.0085,,
1.9990,488,221.4,19.9,0.0085,,
2.0065,489,221.6,19.9,0.0085,,
2.0150,490,221.9,19.9,0.0095,,
2.0235,491,222.3,19.9,0.0085,,
2.0320,492,222.7,19.9,0.0085,,
2.0405,493,223.0,19.9,0.0085,,
2.0490,494,223.2,19.9,0.0095,,
2.0565,495,223.5,19.9,0.0085,,
2.0650,496,223.8,19.9,0.0095,,
2.0730,497,224.2,19.9,0.0080,,
2.0815,498,224.4,19.9,0.0085,,
2.0900,499,224.8,19.9,0.0085,,
2.0985,500,225.0,19.9,0.0095,,
2.1060,501,225.3,19.9,0.0085,,
2.1145,502,225.6,19.9,0.0095,,
2.1230,503,225.9,19.9,0.0095,,
2.1315,504,226.2,19.9,0.0085,,
2.1395,505,226.5,19.9,0.0080,,
2.1480,506,226.7,19.9,0.0085,,
2.1560,507,226.9,19.9,0.0090,,
2.1640,508,227.2,19.9,0.0090,,
2.1725,509,227.5,19.9,0.0085,,
2.1810,510,227.8,19.9,0.0085,,
2.1895,511,228.0,19.9,0.0085,,
2.1980,512,228.3,19.9,0.0085,,
2.2055,513,228.5,19.9,0.0085,,
2.2140,514,228.8,19.9,0.0095,,
2.2225,515,229.0,19.9,0.0095,,
2.2310,516,229.3,19.9,0.0085,,
2.2390,517,229.5,19.9,0.0080,,
2.2475,518,229.7,19.9,0.0095,,
2.2550,519,230.0,19.9,0.0085,,
2.2635,520,230.2,19.9,0.0095,,
2.2720,521,230.4,19.9,0.0085,,
2.2805,522,230.6,19.9,0.0085,,
2.2890,523,230.9,19.9,0.0085,,
2.2975,524,231.1,19.9,0.0095,,
2.3050,525,231.3,19.9,0.0085,,
2.3135,526,231.6,19.9,0.0095,,
2.3220,527,231.8,19.9,0.0085,,
2.3305,528,232.0,19.9,0.0085,,
2.3385,529,232.2,19.9,0.0080,,
2.3470,530,232.4,19.9,0.0095,,
2.3545,531,232.7,19.9,0.0085,,
2.3630,532,232.9,19.9,0.0095,,
2.3715,533,233.0,19.9,0.0085,,
2.3800,534,233.2,19.9,0.0085,,
2.3885,535,233.4,19.9,0.0085,,
2.3970,536,233.7,19.9,0.0095,,
2.4045,537,233.9,19.9,0.0085,,
2.4130,538,234.1,19.9,0.0095,,
2.4210,539,234.2,19.9,0.0080,,
